,Item_Code,ProductName,Power_Class,FactoryCd,SegmentName,ProductGroup3,UseYN
0,Q.PEAK DUO L G6 425,,425,,,,Active
1,Q.PEAK DUO L G6 430,,430,,,,Active
2,46103144,Q.PEAK DUO L G6,420,GA,U&C,GA / Q.PEAK DUO L G6 / ULC / US / 420,Active
3,12004245R,Q.PEAK DUO L G8,430,CYB,U&C,CYB / Q.PEAK DUO L G8 / ULC / US / 430,Active
4,Q.PEAK DUO L GP8.3 BFG 410,,410,,,,Active
5,Q.PEAK DUO L GP8.3 BFG 420,,420,,,,Active
6,Q.PEAK DUO L GP8.3 BGT 415,,415,,,,Active
7,Q.PEAK DUO L-G8P.3.1/BFG 415,,415,,,,Active
8,Q.PEAK DUO L-G8P.3.1/BGT 410,,410,,,,Active
9,Q.PEAK DUO L G8P.3 BFG 410,,410,,,,Active
10,30350207R,Q.PEAK DUO G5,330,JC,Residential,JC / Q.PEAK DUO G5 / RES / US / 330,Active
11,30350208R,Q.PEAK DUO G5,335,JC,Residential,JC / Q.PEAK DUO G5 / RES / US / 335,Active
12,30375107R,Q.PEAK DUO BLK G6+,330,JC,Residential,JC / Q.PEAK DUO BLK G6+ / RES / US / 330,Active
13,30375207R,Q.PEAK DUO BLK G6+,330,JC,Residential,JC / Q.PEAK DUO BLK G6+ / RES / US / 330,Active
14,30140106R,Q.PEAK DUO G5,325,JC,Residential,JC / Q.PEAK DUO G5 / RES / US / 325,Active
15,30359202R,Q.PEAK DUO BLK G5/SC,305,JC,Residential,JC / Q.PEAK DUO BLK G5/SC / RES / US / 305,Active
16,30350106R,Q.PEAK DUO G5,325,JC,Residential,JC / Q.PEAK DUO G5 / RES / US / 325,Active
17,30367457R,Q.PEAK DUO L G7,405,ES,U&C,ES / Q.PEAK DUO L G7 / ULC / US / 405,Active
18,30367458R,Q.PEAK DUO L G7,410,ES,U&C,ES / Q.PEAK DUO L G7 / ULC / US / 410,Active
19,30382761R,Q.PEAK DUO L G8,425,ES,U&C,ES / Q.PEAK DUO L G8 / ULC / US / 425,Active
20,30361056R,Q.PEAK DUO L G5,400,JC,U&C,JC / Q.PEAK DUO L G5 / ULC / US / 400,Active
21,SRWEIA1018601-U000,Q.HOME+ AC-G1 8.6,,,,,Active
22,BWCATSM000SLX-U000,Q.HOME+ TX-8.6,,,,,Active
23,BWCBMSP000SLX-U000,BAT BMS-G1,,,,,Active
24,SRWBPNU014501-U000,BAT45,,,,,Active
25,SRWBPNU016301-U000,BAT63,,,,,Active
26,BWCACCBMS0SLX-U000,"Battery Accessory box , Master control Accessory",,,,,Active
27,BWCACCBSL0SLX-U000,"Battery Accessory box , Slave control Accessory",,,,,Active
28,BWCENME1P0SLX-U000,Meter set,,,,,Active
29,BWCWIFIDG0SLX-U000,Wifi module,,,,,Active
30,30375509R,Q.PEAK DUO BLK G6+,340,JC,Residential,JC / Q.PEAK DUO BLK G6+ / RES / US / 340,Active
31,30361755R,Q.PEAK DUO L G5,395,JC,U&C,JC / Q.PEAK DUO L G5 / ULC / US / 395,Active
32,30361758R,Q.PEAK DUO L G5,410,JC,U&C,JC / Q.PEAK DUO L G5 / ULC / US / 410,Active
33,HQCAESS1101,Q.HOME+ HYB ESS-G1 6.0/4.5,,,,,Active
34,HQCAESS1118,Q.HOME+ HYB ESS-G1 7.6/18.9,,,,,Active
35,HQCAESS1119,Q.HOME+ HYB ESS-G1 8.6/4.5,,,,,Active
36,HQCAESS1120,Q.HOME+ HYB ESS-G1 8.6/6.3,,,,,Active
37,HQCAESS1121,Q.HOME+ HYB ESS-G1 8.6/9.0,,,,,Active
38,HQCAESS1122,Q.HOME+ HYB ESS-G1 8.6/12.6,,,,,Active
39,HQCAESS1123,Q.HOME+ HYB ESS-G1 8.6/13.5,,,,,Active
40,HQCAESS1124,Q.HOME+ HYB ESS-G1 8.6/18.9,,,,,Active
41,HQCAESS1201,Q.HOME+ AC ESS-G1 6.0/4.5,,,,,Active
42,HQCAESS1202,Q.HOME+ AC ESS-G1 6.0/6.3,,,,,Active
43,HQCAESS1203,Q.HOME+ AC ESS-G1 6.0/9.0,,,,,Active
44,HQCAESS1204,Q.HOME+ AC ESS-G1 6.0/12.6,,,,,Active
45,HQCAESS1205,Q.HOME+ AC ESS-G1 6.0/13.5,,,,,Active
46,HQCAESS1206,Q.HOME+ AC ESS-G1 6.0/18.9,,,,,Active
47,HQCAESS1207,Q.HOME+ AC ESS-G1 7.0/4.5,,,,,Active
48,HQCAESS1208,Q.HOME+ AC ESS-G1 7.0/6.3,,,,,Active
49,Q.PEAK DUO L G6 435,,435,,,,Active
50,Q.PEAK DUO L G8 435,,435,,,,Active
51,Q.PEAK DUO XL G9 465,,465,,,,Active
52,Q.PEAK DUO BLK ML G9 365,Q.PEAK DUO BLK ML G9+,365,,,,Active
53,Q.PEAK DUO BLK ML G9 370,Q.PEAK DUO BLK ML G9+,370,,,,Active
54,Q.PEAK DUO BLK ML G9 375,Q.PEAK DUO BLK ML G9+,375,,,,Active
55,Q.PEAK DUO BLK ML G9 380,Q.PEAK DUO BLK ML G9+,380,,,,Active
56,Q.PEAK DUO BLK ML G9 385,Q.PEAK DUO BLK ML G9+,385,,,,Active
57,12004928R,Q.PEAK DUO L G7,400,CYB,U&C,CYB / Q.PEAK DUO L G7 / ULC / US / 400,Active
58,43104139,Q.PEAK DUO L G5,395,GA,U&C,GA / Q.PEAK DUO L G5 / ULC / US / 395,Active
59,30315030T,Q.PEAK BLK G4.1,295,ES,Residential,ES / Q.PEAK BLK G4.1 / RES / US / 295,Active
60,30315202A,Q.PEAK BLK G4.1,305,ES,Residential,ES / Q.PEAK BLK G4.1 / RES / US / 305,Active
61,30320114A,Q.PEAK L G4.2,365,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 365,Active
62,30320115A,Q.PEAK L G4.2,370,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 370,Active
63,30320116A,Q.PEAK L G4.2,375,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 375,Active
64,30320514A,Q.PEAK L G4.2,365,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 365,Active
65,30320515A,Q.PEAK L G4.2,370,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 370,Active
66,30320516A,Q.PEAK L G4.2,375,ES,U&C,ES / Q.PEAK L G4.2 / ULC / US / 375,Active
