,WH_Location,WH_3PL_Name,SAP_WH_Location_Group,SAP_WH_Location_Code,SAP_3PL_WH_Name,UseYN
0,CA_N,CA OAKLAND 4450,CA_N,A0,CA OAKLAND 4450,Y
1,CA_S,CA CARSON 2760,CA_S,A0,CA CARSON 2760,Y
2,CA_S,CA FULLERTON 2091,CA_S,A0,CA FULLERTON 2091,Y
3,CA_S,CA GARDENA 14439,CA_S,A0,CA GARDENA 14439,Y
4,CA_S,CA ONTARIO 2825,CA_S,A0,CA ONTARIO 2825,Y
5,CA_S,CA TORRANCE 1545,CA_S,A0,CA TORRANCE 1545,Y
6,GA_N,GA ATLANTA 4071,GA_N,A0,GA ATLANTA 4071,Y
7,GA_N,GA ATLANTA 4370,GA_N,A0,GA ATLANTA 4370,Y
8,GA_N,GA DALTON EXTERNAL 3551,GA_N,A0,GA DALTON EXTERNAL 3551,Y
9,GA_N,GA DALTON FACTORY 300,GA_N,A0,GA DALTON FACTORY 300,Y
10,GA_S,GA GARDEN CITY 54,GA_S,A0,GA GARDEN CITY 54,Y
11,GA_S,GA POOLER 5250,GA_S,A0,GA POOLER 5250,Y
12,NJ,NJ ELIZABETH 201,NJ,A0,NJ ELIZABETH 201,Y
13,NJ,NJ LINDEN 340,NJ,A0,NJ LINDEN 340,Y
14,NJ,NJ MOONACHIE 245,NJ,A0,NJ MOONACHIE 245,Y
15,NJ,NJ NORTH BRUNSWICK 1665,NJ,A0,NJ NORTH BRUNSWICK 1665,Y
16,NJ,NJ NORTH BRUNSWICK 2300,NJ,A0,NJ NORTH BRUNSWICK 2300,Y
17,TX_S,TX DEER PARK 2902,TX_S,A0,TX DEER PARK 2902,Y
18,TX_S,TX DEER PARK 625,TX_S,A0,TX DEER PARK 625,Y
19,TX_S,TX HOUSTON 8505,TX_S,A0,TX HOUSTON 8505,Y
20,VA,VA NORFOLK 1157,VA,A0,VA NORFOLK 1157,Y
21,WA,WA KENT 7901,WA,A0,WA KENT 7901,Y
22,WA,WA TACOMA 1401,WA,A0,WA TACOMA 1401,Y
23,WA,WA TACOMA 475,WA,A0,WA TACOMA 475,Y
