Data_Type,기준일자,FactoryPO,RTF_ETA,RTF_Year,RTF_Month,Item_Code,ItemCode_Tariff,ProductName_master,FactoryCd,Segment_master,Power_Class_master,WH_Name,WestEast,Tariff,ProductType,PCS,Total_Watt,Pallet,Port_ETD,Update_Port_ETD,Port_ATD,Original_ETA,Original_ETA_Lag,Update_ETA,Unloading_Date,Port_ATA,Berth,WH_ETA,WH_ETA_Lag,Steamship,Vessel,Voyage,MBL,HBL,Container,POD,Product_Name,Segment,Power_Class,Invoice
Delivery_Status,2022-10-18,72100245,20220830,2022,10,30391590,30391590H,,ES,,,WA TACOMA 475,W,0.1475,,320,182400,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,TACOMA,,,,
Delivery_Status,2022-10-18,72100245,20220830,2022,10,30391590,30391590H,,ES,,,WA TACOMA 1401,W,0.1475,,320,182400,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,TACOMA,,,,
Delivery_Status,2022-10-18,72100245,20220830,2022,10,30391590,30391590H,,ES,,,WA KENT 7901,W,0.1475,,320,182400,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,TACOMA,,,,
Delivery_Status,2022-10-18,TBD,20220830,2022,BD,30391590,30391590H,,ES,,,NJ MOONACHIE 245,E,0.1475,,192,109440,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,NJ,,,,
Delivery_Status,2022-10-18,TBD,20220830,2022,BD,30391590,30391590H,,ES,,,NJ ELIZABETH 201,E,0.1475,,192,109440,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,NJ,,,,
Delivery_Status,2022-10-18,TBD,20220830,2022,BD,30391590,30391590H,,ES,,,NJ LINDEN 340,E,0.1475,,192,109440,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,NJ,,,,
Delivery_Status,2022-10-18,TBD,20220830,2022,BD,30391590,30391590H,,ES,,,NJ NORTH BRUNSWICK 2300,E,0.1475,,192,109440,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,NJ,,,,
Delivery_Status,2022-10-18,TBD,20220830,2022,BD,30391590,30391590H,,ES,,,NJ NORTH BRUNSWICK 1665,E,0.1475,,192,109440,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,NJ,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA GARDENA 14439,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA ONTARIO 2825,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA FULLERTON 2091,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA TORRANCE 1545,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA CARSON 2760,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394216,30394216H,,ES,,,CA OAKLAND 4450,W,0.1475,,218,82000,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA GARDENA 14439,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA ONTARIO 2825,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA FULLERTON 2091,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA TORRANCE 1545,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA CARSON 2760,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
Delivery_Status,2022-10-18,72100236,20220830,2022,09,30394215,30394215H,,ES,,,CA OAKLAND 4450,W,0.1475,,48,17760,,2022-08-15,,,2022-08-30,2022-10-26,,,,,2022-09-13,2022-11-09,,,,,,,LA,,,,
