Data_Type,기준일자,CustomerPO_Num,Customer_Name,STATUS,DO_Num,Item_Code,ALLOC_CW,Customer_Address,Product_Name,Power_Class,Tariff,WH_Code,WH_Name,WestEast,Segment,PCS,Pallet,MW,ASP,Revenue,CPO_PCS,CPO_Pallet,CPO_MW,PO_Date,Requested_Delivery_Date,Updated_RDD,Cargo_Release_Date,ETD,ETD_Lag,ATD,ETA,TruckingCompany_Name,Incoterm,Proof_Of_Delivery_Date,CPO_Status,Logi_Status
3PL,2022-09-23,5887-RD947664S,CED New Jersey,DO,GA664S071201F,12004245F,,"35 TWINBRIDGE DR, PENNSAUKEN, NJ 08110",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,540.0,18.0,0.0,,,,,,,,,,2021-07-12,2021-07-12,2021-07-12,2021-07-14,SDS EAST,,,,DELIVERED
3PL,2022-09-23,5887-RD947664S,CED New Jersey,DO,GA664S071301F,12004245F,,"35 TWINBRIDGE DR, PENNSAUKEN, NJ 08110",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,480.0,16.0,0.0,,,,,,,,,,2021-07-13,2021-07-13,2021-07-13,2021-07-14,SDS EAST,,,,DELIVERED
3PL,2022-09-23,3855796_PT2,Platt,DO,GA5796071401F,12004245F,,"1825 Ellis ST, Bellingham, WA 98225",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,300.0,10.0,0.0,,,,,,,,,,2021-07-14,2021-07-14,2021-07-14,2021-07-19,SDS EAST,,,,DELIVERED
3PL,2022-09-23,7953-TD903867S,CED Greentech Santa Rosa,DO,GA867S071901F,12004245F,,"917 Piner Road Suite A&B, Santa Rosa, CA 95403",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,60.0,2.0,0.0,,,,,,,,,,2021-07-21,2021-07-21,2021-07-21,2021-07-29,SDS EAST,,,,DELIVERED
3PL,2022-09-23,6216-618871,WESCO SACRAMENTO,DO,GA8871051201F,12004245F,,"1301 N. MARKET BLVD, SACRAMENTO, CA 95834",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,360.0,12.0,0.0,,,,,,,,,,2021-05-12,2021-05-12,2021-05-12,2021-05-17,SDS EAST,,,,DELIVERED
3PL,2022-09-23,7953-TD903867S,CED Greentech Santa Rosa,DO,GA867S060901F,12004245F,,"917 Piner Road Suite A&B, Santa Rosa, CA 95403",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,450.0,15.0,0.0,,,,,,,,,,2021-06-09,2021-06-09,2021-06-09,2021-06-14,SDS EAST,,,,DELIVERED
3PL,2022-09-23,7953-TD903867S,CED Greentech Santa Rosa,DO,GA867S060902F,12004245F,,"917 Piner Road Suite A&B, Santa Rosa, CA 95403",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,600.0,20.0,0.0,,,,,,,,,,2021-06-10,2021-06-10,2021-06-10,2021-06-15,SDS EAST,,,,DELIVERED
3PL,2022-09-23,(0300522-02),Sunworks,DO,GA2202060101F,12004245F,,"15 Pepsi Way, Durham, CA 95938",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,420.0,14.0,0.0,,,,,,,,,,2021-06-10,2021-06-10,2021-06-10,2021-06-16,SDS EAST,,,,DELIVERED
3PL,2022-09-23,16624_PT2,"N.F. Smith & Associates /The Next Energy Technology, Inc",DO,GA4PT2061101F,12004245F,,2440 Marietta St. Kenner LA 70062 => return to JIT,Q.PEAK DUO L G8,430.0,0.18,,,,U&C,720.0,24.0,0.0,,,,,,,,,,2021-06-11,2021-06-11,2021-06-11,2021-06-16,SDS EAST,,,,DELIVERED
3PL,2022-09-23,7133-JIM974310S,CED Greentech San Diego,DO,GA310S061101F,12004245F,,"9190 Activity Road, San Diego, CA 92126",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,600.0,20.0,0.0,,,,,,,,,,2021-06-11,2021-06-11,2021-06-11,2021-06-16,SDS EAST,,,,DELIVERED
3PL,2022-09-23,(0500071-04),Sunworks,DO,GA7104601101F,12004245F,,"15 Pepsi Way,Durham, CA 95938",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,750.0,25.0,0.0,,,,,,,,,,2021-06-14,2021-06-14,2021-06-14,2021-06-18,SDS EAST,,,,DELIVERED
3PL,2022-09-23,5102021a,Barrington Power LLC C/O Mains Electric,DO,GA021A061501F,12004245F,,"44 Main Street, Alton NH 03809",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,210.0,7.0,0.0,,,,,,,,,,2021-06-15,2021-06-15,2021-06-15,2021-06-17,SDS EAST,,,,DELIVERED
3PL,2022-09-23,R005646_(PT2),Ag Technologies Inc,DO,GA5646061801F,12004245F,,"1268 E 100 S, Rochester, IN 46975",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,630.0,21.0,0.0,,,,,,,,,,2021-06-18,2021-06-18,2021-06-18,2021-06-21,SDS EAST,,,,DELIVERED
3PL,2022-09-23,16624_PT2,"N.F. Smith & Associates /The Next Energy Technology, Inc",DO,GA4PT2061101FRE,12004245F,,2440 Marietta St. Kenner LA 70062,Q.PEAK DUO L G8,430.0,0.18,,,,U&C,720.0,24.0,0.0,,,,,,,,,,2021-06-18,2021-06-18,2021-06-18,2021-06-21,SDS EAST,,,,DELIVERED
3PL,2022-09-23,7133-JIM974310S,CED Greentech San Diego,DO,GA310S061102F,12004245F,,"9190 Activity Road, San Diego, CA 92126",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,660.0,22.0,0.0,,,,,,,,,,2021-06-21,2021-06-21,2021-06-21,2021-06-25,SDS EAST,,,,DELIVERED
3PL,2022-09-23,218408-000-14353,GEM Energy,DO,GA4353062301F,12004245F,,"1300 W Harrison St, Phoenix, AZ 85007",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,720.0,24.0,0.0,,,,,,,,,,2021-06-21,2021-06-21,2021-06-21,2021-06-24,SDS EAST,,,,DELIVERED
3PL,2022-09-23,10626,Evergreen Energy,DO,GA0626062501F,12004245F,,"55 Randolph Ave, Avanel, NJ 07001",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,240.0,8.0,0.0,,,,,,,,,,2021-06-25,2021-06-25,2021-06-25,2021-06-28,SDS EAST,,,,DELIVERED
3PL,2022-09-23,PO_00001_PT3,NRGTree Consulting Limited Company,DO,GA0001062501F,12004245F,,"5 Second St, Natick, MA 01602",Q.PEAK DUO L G8,430.0,0.18,,,,U&C,420.0,14.0,0.0,,,,,,,,,,2021-06-25,2021-06-25,2021-06-25,2021-06-28,SDS EAST,,,,DELIVERED
