Data_Type,기준일자,CustomerPO_Num,Customer_Name,STATUS,DO_Num,Item_Code,ALLOC_CW,Customer_Address,Product_Name,Power_Class,Tariff,WH_Code,WH_Name,WestEast,Segment,PCS,Pallet,MW,ASP,Revenue,CPO_PCS,CPO_Pallet,CPO_MW,PO_Date,Requested_Delivery_Date,Updated_RDD,Cargo_Release_Date,ETD,ETD_Lag,ATD,ETA,TruckingCompany_Name,Incoterm,Proof_Of_Delivery_Date,CPO_Status,Logi_Status
OSR,2022-08-18,Replacements(Claim#204599)_PT2,"White Spruce Holdings, LLC  CS Energy, LLC",CR,,12004284,CW32,,,,0.0,VA,VA NORFOLK 1157,E,,29.0,,,0.0,0.0,,,,2022-07-28,,,2022-08-02,2022-08-12,2022-08-12,,,,CIP,,DRAFT,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT6,"EDPR NA Distributed Generation, LLC",CR,,,CW20,,,,0.0,NJ,NJ ELIZABETH 201,E,,6168.0,,,0.47,8479458.0,,,,2022-07-22,2023-01-01,,,2023-05-19,2023-05-19,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT6,"EDPR NA Distributed Generation, LLC",CR,,,CW20,,,,0.0,NJ,NJ LINDEN 340,E,,6168.0,,,0.47,8479458.0,,,,2022-07-22,2023-01-01,,,2023-05-19,2023-05-19,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT6,"EDPR NA Distributed Generation, LLC",CR,,,CW20,,,,0.0,NJ,NJ NORTH BRUNSWICK 2300,E,,6168.0,,,0.47,8479458.0,,,,2022-07-22,2023-01-01,,,2023-05-19,2023-05-19,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT6,"EDPR NA Distributed Generation, LLC",CR,,,CW20,,,,0.0,NJ,NJ NORTH BRUNSWICK 1665,E,,6168.0,,,0.47,8479458.0,,,,2022-07-22,2023-01-01,,,2023-05-19,2023-05-19,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT6,"EDPR NA Distributed Generation, LLC",CR,,,CW20,,,,0.0,NJ,NJ MOONACHIE 245,E,,6168.0,,,0.47,8479458.0,,,,2022-07-22,2023-01-01,,,2023-05-19,2023-05-19,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT5,"EDPR NA Distributed Generation, LLC",CR,,,CW17,,,,0.0,NJ,NJ ELIZABETH 201,E,,6324.0,,,0.47,8693919.0,,,,2022-07-22,2023-01-01,,,2023-04-28,2023-04-28,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT5,"EDPR NA Distributed Generation, LLC",CR,,,CW17,,,,0.0,NJ,NJ LINDEN 340,E,,6324.0,,,0.47,8693919.0,,,,2022-07-22,2023-01-01,,,2023-04-28,2023-04-28,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT5,"EDPR NA Distributed Generation, LLC",CR,,,CW17,,,,0.0,NJ,NJ NORTH BRUNSWICK 2300,E,,6324.0,,,0.47,8693919.0,,,,2022-07-22,2023-01-01,,,2023-04-28,2023-04-28,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT5,"EDPR NA Distributed Generation, LLC",CR,,,CW17,,,,0.0,NJ,NJ NORTH BRUNSWICK 1665,E,,6324.0,,,0.47,8693919.0,,,,2022-07-22,2023-01-01,,,2023-04-28,2023-04-28,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT5,"EDPR NA Distributed Generation, LLC",CR,,,CW17,,,,0.0,NJ,NJ MOONACHIE 245,E,,6324.0,,,0.47,8693919.0,,,,2022-07-22,2023-01-01,,,2023-04-28,2023-04-28,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT4,"EDPR NA Distributed Generation, LLC",CR,,,CW13,,,,0.0,NJ,NJ ELIZABETH 201,E,,6318.0,,,0.47,8685670.5,,,,2022-07-22,2023-01-01,,,2023-03-31,2023-03-31,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT4,"EDPR NA Distributed Generation, LLC",CR,,,CW13,,,,0.0,NJ,NJ LINDEN 340,E,,6318.0,,,0.47,8685670.5,,,,2022-07-22,2023-01-01,,,2023-03-31,2023-03-31,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT4,"EDPR NA Distributed Generation, LLC",CR,,,CW13,,,,0.0,NJ,NJ NORTH BRUNSWICK 2300,E,,6318.0,,,0.47,8685670.5,,,,2022-07-22,2023-01-01,,,2023-03-31,2023-03-31,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT4,"EDPR NA Distributed Generation, LLC",CR,,,CW13,,,,0.0,NJ,NJ NORTH BRUNSWICK 1665,E,,6318.0,,,0.47,8685670.5,,,,2022-07-22,2023-01-01,,,2023-03-31,2023-03-31,,,,CIP,,APPROVED,
OSR,2022-08-18,HANWHA-EDPG-06292022-01_PT4,"EDPR NA Distributed Generation, LLC",CR,,,CW13,,,,0.0,NJ,NJ MOONACHIE 245,E,,6318.0,,,0.47,8685670.5,,,,2022-07-22,2023-01-01,,,2023-03-31,2023-03-31,,,,CIP,,APPROVED,
OSR,2022-08-18,2576-JB909651S_PT6,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA GARDENA 14439,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
OSR,2022-08-18,2576-JB909651S_PT6,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA ONTARIO 2825,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
OSR,2022-08-18,2576-JB909651S_PT6,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA FULLERTON 2091,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
OSR,2022-08-18,2576-JB909651S_PT6,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA TORRANCE 1545,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
OSR,2022-08-18,2576-JB909651S_PT6,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA CARSON 2760,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
OSR,2022-08-18,2576-JB909651S_PT5,CED Greentech Fresno,CR,,,CW43,,,,0.0,CA_S,CA GARDENA 14439,W,,166.4,,,0.62,188281.6,,,,2022-12-06,,,,2022-10-28,2022-10-28,,,,CIP,,AWAITING APPROVAL,
