WH_Location,WH_3PL_Name,Item_Code,PCS
CA_S,CA GARDENA 14439,12002141A,5
CA_S,CA GARDENA 14439,12002196A,34
CA_S,CA GARDENA 14439,12002652A,3
CA_S,CA GARDENA 14439,12002972R,54
CA_S,CA GARDENA 14439,12004082R,87
CA_S,CA GARDENA 14439,12004245F,0
CA_S,CA GARDENA 14439,12004245R,50
CA_S,CA GARDENA 14439,12004246F,0
CA_S,CA GARDENA 14439,12004247F,60
CA_S,CA GARDENA 14439,12004275R,58
CA_S,CA GARDENA 14439,12005560F,296
CA_S,CA GARDENA 14439,12005832,0
CA_S,CA GARDENA 14439,12005832C,4
CA_S,CA GARDENA 14439,12005833,120
CA_S,CA GARDENA 14439,12005833C,16
CA_S,CA GARDENA 14439,30120023,1
CA_S,CA GARDENA 14439,30340309A,45
CA_S,CA GARDENA 14439,30341211A,31
CA_S,CA GARDENA 14439,30355202A,0
CA_S,CA GARDENA 14439,30355402A,0
CA_S,CA GARDENA 14439,30360355A,40
CA_S,CA GARDENA 14439,30361119R,37
CA_S,CA GARDENA 14439,30361455R,112
CA_S,CA GARDENA 14439,30361455A,0
CA_S,CA GARDENA 14439,30367656R,17
CA_S,CA GARDENA 14439,30368516F,0
CA_S,CA GARDENA 14439,30368517F,8
CA_S,CA GARDENA 14439,30368618R,2080
CA_S,CA GARDENA 14439,30369117F,0
CA_S,CA GARDENA 14439,30369217F,14
CA_S,CA GARDENA 14439,30369516F,0
CA_S,CA GARDENA 14439,30369517F,0
CA_S,CA GARDENA 14439,30370710F,0
CA_S,CA GARDENA 14439,30370711F,0
CA_S,CA GARDENA 14439,30370810R,832
CA_S,CA GARDENA 14439,30370910F,96
CA_S,CA GARDENA 14439,30371611H,345
CA_S,CA GARDENA 14439,30372156H,2304
CA_S,CA GARDENA 14439,30372157H,896
CA_S,CA GARDENA 14439,30372158H,0
CA_S,CA GARDENA 14439,30372211H,151
CA_S,CA GARDENA 14439,30375108F,0
CA_S,CA GARDENA 14439,30375309F,0
CA_S,CA GARDENA 14439,30375309R,9
CA_S,CA GARDENA 14439,30375508F,0
CA_S,CA GARDENA 14439,30375509F,2
CA_S,CA GARDENA 14439,30375807F,0
CA_S,CA GARDENA 14439,30375808F,0
CA_S,CA GARDENA 14439,30375809F,7
CA_S,CA GARDENA 14439,30375908F,0
CA_S,CA GARDENA 14439,30375909F,0
CA_S,CA GARDENA 14439,30376108F,160
CA_S,CA GARDENA 14439,30376109F,0
CA_S,CA GARDENA 14439,30376408F,0
CA_S,CA GARDENA 14439,30376409F,3
CA_S,CA GARDENA 14439,30376508F,0
CA_S,CA GARDENA 14439,30376509F,2
CA_S,CA GARDENA 14439,30376608H,0
CA_S,CA GARDENA 14439,30376609H,156
CA_S,CA GARDENA 14439,30376609C,0
CA_S,CA GARDENA 14439,30376609F,0
CA_S,CA GARDENA 14439,30376709C,0
CA_S,CA GARDENA 14439,30376809C,0
CA_S,CA GARDENA 14439,30376909H,78
CA_S,CA GARDENA 14439,30381259F,551
CA_S,CA GARDENA 14439,30383260R,58
CA_S,CA GARDENA 14439,30390155H,768
CA_S,CA GARDENA 14439,30390156H,63968
CA_S,CA GARDENA 14439,30390156C,0
CA_S,CA GARDENA 14439,30390157H,768
CA_S,CA GARDENA 14439,30390255H,0
CA_S,CA GARDENA 14439,30390256H,0
CA_S,CA GARDENA 14439,30390455H,8256
CA_S,CA GARDENA 14439,30390456H,12608
CA_S,CA GARDENA 14439,30390457H,0
CA_S,CA GARDENA 14439,30390555C,15
CA_S,CA GARDENA 14439,30390556C,229
CA_S,CA GARDENA 14439,30385557H,4782
CA_S,CA GARDENA 14439,30385558H,3493
CA_S,CA GARDENA 14439,30390219H,0
CA_S,CA GARDENA 14439,30396067F,580
CA_S,CA GARDENA 14439,30396955F,30
CA_S,CA GARDENA 14439,30396956F,0
CA_S,CA GARDENA 14439,30397371F,0
CA_S,CA GARDENA 14439,30397372F,0
CA_S,CA GARDENA 14439,30397471C,24
CA_S,CA GARDENA 14439,30397472C,7
CA_S,CA GARDENA 14439,30397871F,0
CA_S,CA GARDENA 14439,43202124,128
CA_S,CA GARDENA 14439,43211124,0
CA_S,CA GARDENA 14439,46105143,1
CA_S,CA GARDENA 14439,46112145,58
CA_S,CA GARDENA 14439,46221128,0
CA_S,CA GARDENA 14439,49401140,0
CA_S,CA GARDENA 14439,10017933-PM,17
CA_S,CA GARDENA 14439,10018790-PM,1
CA_S,CA GARDENA 14439,30112308-PMT,4
CA_S,CA GARDENA 14439,30121126-PM,6
CA_S,CA GARDENA 14439,30140003-PM,16
CA_S,CA GARDENA 14439,30315030-PMT,21
CA_S,CA GARDENA 14439,30360218-PMT,2
CA_S,CA GARDENA 14439,30368019-PM,20
CA_S,CA GARDENA 14439,30375107MTA,32
CA_S,CA GARDENA 14439,30383059-PMR,10
CA_S,CA ONTARIO 2825,12002141A,0
CA_S,CA ONTARIO 2825,12002196A,0
CA_S,CA ONTARIO 2825,12002652A,0
CA_S,CA ONTARIO 2825,12002972R,0
CA_S,CA ONTARIO 2825,12004082R,0
CA_S,CA ONTARIO 2825,12004245F,3
CA_S,CA ONTARIO 2825,12004245R,0
CA_S,CA ONTARIO 2825,12004246F,30
CA_S,CA ONTARIO 2825,12004247F,0
CA_S,CA ONTARIO 2825,12004275R,0
CA_S,CA ONTARIO 2825,12005560F,0
CA_S,CA ONTARIO 2825,12005832,90
CA_S,CA ONTARIO 2825,12005832C,0
CA_S,CA ONTARIO 2825,12005833,0
CA_S,CA ONTARIO 2825,12005833C,0
CA_S,CA ONTARIO 2825,30120023,0
CA_S,CA ONTARIO 2825,30340309A,0
CA_S,CA ONTARIO 2825,30341211A,0
